Energy,Post,Comment,Cleaned_Comment,Token_Count,Sentiment,Sentiment_Mapped,reasons
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more","nukes are the way to go....the new TERRAPOWER reactors will use waste as fuel, we have enough waste to run the country for 100-150 years...on waste alone!!","nukes are the way to go....the new TERRAPOWER reactors will use waste as fuel, we have enough waste to run the country for 100-150 years...on waste alone!!",34,LABEL_0,NEGATIVE,financial_constraints
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",This is shows that Chinas economic stats are fake by building a massive amount of empty buildings and inflating the price like experts say. You need energy to be the number one producing economy and USA has been way ahead for 50 years despite offshore manufacturing..,This is shows that Chinas economic stats are fake by building a massive amount of empty buildings and inflating the price like experts say. You need energy to be the number one producing economy and USA has been way ahead for 50 years despite offshore manufacturing..,48,LABEL_0,NEGATIVE,financial_constraints
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",What kind of stupid list forgets the Soviet Union?,What kind of stupid list forgets the Soviet Union?,10,LABEL_0,NEGATIVE,technological_shortcomings
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",what a pointless chart that does not take account of the country and population sizes,what a pointless chart that does not take account of the country and population sizes,15,LABEL_0,NEGATIVE,technological_shortcomings
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",Where Iran at?,Where Iran at?,4,LABEL_1,NEUTRAL,technological_shortcomings
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",What about România? The producțiunea îs bigger in compare whit Bulgaria and Ungaria,What about România? The producțiunea îs bigger in compare whit Bulgaria and Ungaria,14,LABEL_1,NEUTRAL,not-defined
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",Russia and Ukraine were one country till 1991. ,Russia and Ukraine were one country till 1991. ,9,LABEL_1,NEUTRAL,technological_shortcomings
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",The big question is where is all this Nuclear Waste going to go????,The big question is where is all this Nuclear Waste going to go????,17,LABEL_0,NEGATIVE,technological_shortcomings
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",How to make this kinds of statistics,How to make this kinds of statistics,7,LABEL_1,NEUTRAL,not-defined
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",These videos must be stopped ,These videos must be stopped ,5,LABEL_0,NEGATIVE,not-defined
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more","And then Govts wonder why Cancer is a ""new"" disease on the increase... are they mentally defective?","And then Govts wonder why Cancer is a ""new"" disease on the increase... are they mentally defective?",21,LABEL_0,NEGATIVE,financial_constraints
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more","Italy totaly failed in the decarbonisation process and until the ignorant population won't understand they will continue to burn russian gas. Germany is even better because they are quitting from nuclear to burn coal, very smart.","Italy totaly failed in the decarbonisation process and until the ignorant population won't understand they will continue to burn russian gas. Germany is even better because they are quitting from nuclear to burn coal, very smart.",40,LABEL_0,NEGATIVE,financial_constraints
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",You forgot ROMANIA!!!!,You forgot ROMANIA!!!!,7,LABEL_0,NEGATIVE,not-defined
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",USA is the biggest loser in non nuclear energy,USA is the biggest loser in non nuclear energy,9,LABEL_0,NEGATIVE,technological_shortcomings
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",It should show per capita. ,It should show per capita. ,6,LABEL_1,NEUTRAL,not-defined
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",ECONOMICS OF PLANET DESTRUCTIONGlobal environmental reality nightmarethat's completely ignored:THERE ARE 400 NUCLEAR POWER STATIONS OPERATING ON THE PLANET TO FUEL DEBTFINANCED ECONOMIC/DEMOGRAPHIC GROWTH AND A FURTHER 400 UNDER CONSTRUCTION to fuel nature wipeout/climate change & there's more than 1kilo of radioactive plutonium waste for every human on the planet=don't need nuclear weapons or coronavirus or Paris agreement or any other hysterics to contaminate and wipe out humans and planets bearing in mind thatALL MONEY IS MADE FROM CAUSING NATURE WIPEOUT AND CLIMATE CHANGE AND ALL MONEY INVESTED AND SPENT CAUSES MORE NATURE WIPEOUT AND CLIMATE CHANGE particularly if you don't have to work for it,ECONOMICS OF PLANET DESTRUCTIONGlobal environmental reality nightmarethat's completely ignored:THERE ARE 400 NUCLEAR POWER STATIONS OPERATING ON THE PLANET TO FUEL DEBTFINANCED ECONOMIC/DEMOGRAPHIC GROWTH AND A FURTHER 400 UNDER CONSTRUCTION to fuel nature wipeout/climate change & there's more than 1kilo of radioactive plutonium waste for every human on the planet=don't need nuclear weapons or coronavirus or Paris agreement or any other hysterics to contaminate and wipe out humans and planets bearing in mind thatALL MONEY IS MADE FROM CAUSING NATURE WIPEOUT AND CLIMATE CHANGE AND ALL MONEY INVESTED AND SPENT CAUSES MORE NATURE WIPEOUT AND CLIMATE CHANGE particularly if you don't have to work for it,111,LABEL_0,NEGATIVE,financial_constraints
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",Russia & Slovakia in 1966? ,Russia & Slovakia in 1966? ,6,LABEL_1,NEUTRAL,regulatory_challenges
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",ONE WOULD THINK THE MOST DANGEROUS FORM OF ENERGY WOULD NO LONGER BE  USED TODAY. NUCLEAR WASTE MUST BE BURIED DEEP IN THE EARTH AWAY FROM POPULATIONS AND WATER SUPPLIES FOR THOUSANDS OF YEARS BEFORE IT IS NO LONGER TOXIC AND DEADLY. ,ONE WOULD THINK THE MOST DANGEROUS FORM OF ENERGY WOULD NO LONGER BE  USED TODAY. NUCLEAR WASTE MUST BE BURIED DEEP IN THE EARTH AWAY FROM POPULATIONS AND WATER SUPPLIES FOR THOUSANDS OF YEARS BEFORE IT IS NO LONGER TOXIC AND DEADLY. ,44,LABEL_0,NEGATIVE,technological_shortcomings
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",Had your Covid Scamdemic Vaccine yet Sheeple? ,Had your Covid Scamdemic Vaccine yet Sheeple? ,8,LABEL_1,NEUTRAL,not-defined
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",Greta should watch this...,Greta should watch this...,5,LABEL_1,NEUTRAL,not-defined
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",Fake for Bulgaria. Real time data here -> http://www.eso.bg/?did=124,Fake for Bulgaria. Real time data here -> ,10,LABEL_1,NEUTRAL,technological_shortcomings
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",Love these,Love these,2,LABEL_2,POSITIVE,not-defined
Nuclear,"Nuclear Energy Production From 1965According to Wikipedia, Nuclear power plants currently operate in 30 countries. Most are in Europe, North America, East Asia and South Asia. The United States is the largest producer of nuclear power, while France has the largest share of electricity generated by nuclear power. In 2010, before the Fukushima Daiichi nuclear disaster, it was reported that an average of about 10 nuclear reactors were expected to become operational per year, a… See more",Love these ,Love these ,2,LABEL_2,POSITIVE,not-defined
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.","since when did US shows concern on the reduction of dirty coal and fossil fuel. In fact, they consume around 500 MMst of it (as of 2020)….much better to deal with France or South Korea rather than with US, Russia and China.","since when did US shows concern on the reduction of dirty coal and fossil fuel. In fact, they consume around 500 MMst of it (as of 2020)….much better to deal with France or South Korea rather than with US, Russia and China.",49,LABEL_0,NEGATIVE,financial_constraints
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.",Better have a cooperation with Japan with regards to nuclear plant... they also have contingency plans in case there will be problems arising...,Better have a cooperation with Japan with regards to nuclear plant... they also have contingency plans in case there will be problems arising...,25,LABEL_1,NEUTRAL,financial_constraints
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.","The problem in our country is we depend a lot on what the politicians and reporters are telling, instead of listening to engineers and scientist. Many calamities had devastated our country but non had been reported in that area of Bagac, Bataan. Where are these politicians and reporters when energy price rises?","The problem in our country is we depend a lot on what the politicians and reporters are telling, instead of listening to engineers and scientist. Many calamities had devastated our country but non had been reported in that area of Bagac, Bataan. Where are these politicians and reporters when energy price rises?",57,LABEL_0,NEGATIVE,infrastructure
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.",actually us are the one responsible  to our  bataan nuclear power plant but am say i want to cooperate with  japan or korea  to continue the development  of our power plant not US,actually us are the one responsible  to our  bataan nuclear power plant but am say i want to cooperate with  japan or korea  to continue the development  of our power plant not US,33,LABEL_1,NEUTRAL,financial_constraints
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.","The Philippines should not be in a hurry to go for nuclear energy. It is a long term plan based on the current situation. There should be a transition of using LNG to convert fuel that are using coal first to reduce CO2 emission and to prevent power outages. Before deciding any plans, I recommend to the government should engage first to use an independent 3rd Party Inspection Agency accredited by the governing body of the Construction Code to review/audit the completed documents and all the acceptance of said reviewed documents for the public to know the current status of BNPP. Here are some questions: Are the results and records complied with the agreed mandatory requirements of the Code of Construction? Why plan to negotiate with other vendors to restart BNPP? Why not go back to the table with Westinghouse who is the original designer and responsible in compliance with the Code of Construction to avoid RISK to life of the Filipinos and property? If negotiate with other vendors, who will take the responsibility and guarantee the RISK involve of such decision?","The Philippines should not be in a hurry to go for nuclear energy. It is a long term plan based on the current situation. There should be a transition of using LNG to convert fuel that are using coal first to reduce CO2 emission and to prevent power outages. Before deciding any plans, I recommend to the government should engage first to use an independent 3rd Party Inspection Agency accredited by the governing body of the Construction Code to review/audit the completed documents and all the acceptance of said reviewed documents for the public to know the current status of BNPP. Here are some questions: Are the results and records complied with the agreed mandatory requirements of the Code of Construction? Why plan to negotiate with other vendors to restart BNPP? Why not go back to the table with Westinghouse who is the original designer and responsible in compliance with the Code of Construction to avoid RISK to life of the Filipinos and property? If negotiate with other vendors, who will take the responsibility and guarantee the RISK involve of such decision?",193,LABEL_1,NEUTRAL,infrastructure
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.","Put aside politics and ignorance on Philippine nuclear power plant, it passed the dry run test under the supervision observation of IAEA.","Put aside politics and ignorance on Philippine nuclear power plant, it passed the dry run test under the supervision observation of IAEA.",24,LABEL_1,NEUTRAL,infrastructure
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.",Now its the time.. the best ka tlaga president Duterte.. god bless the Filipino people .. peace  out,Now its the time.. the best ka tlaga president Duterte.. god bless the Filipino people .. peace  out,20,LABEL_2,POSITIVE,financial_constraints
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.","Hay, it is now the 21st century.  Nuclear plants are passe. It's now renewables. Someone is trying to pass on to us obsolete stocks.","Hay, it is now the 21st century.  Nuclear plants are passe. It's now renewables. Someone is trying to pass on to us obsolete stocks.",30,LABEL_0,NEGATIVE,financial_constraints
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.",I think not good idea that can be trap by US first thy will cooperate in the name of energy once it's done then US  will blame on Philippines about nuclear weapons development then sanctions US invest into small project but outcome will definitely to use Philippines against China why US not cooperate in business sector or infrastructure development in public sector ? Instead of nuclear definitely something is wrong behind that offer,I think not good idea that can be trap by US first thy will cooperate in the name of energy once it's done then US  will blame on Philippines about nuclear weapons development then sanctions US invest into small project but outcome will definitely to use Philippines against China why US not cooperate in business sector or infrastructure development in public sector ? Instead of nuclear definitely something is wrong behind that offer,74,LABEL_0,NEGATIVE,financial_constraints
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.","The small, modular nuclear plant design is cheaper, safer and more applicable technology for the PHILLIPINES multiple islands power ditsribution and development, when BBM seats as PRESIDENT.","The small, modular nuclear plant design is cheaper, safer and more applicable technology for the PHILLIPINES multiple islands power ditsribution and development, when BBM seats as PRESIDENT.",31,LABEL_2,POSITIVE,infrastructure
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.",To be clarify lang po ibeen in BNPP..barakah nuclear power plant in uae..every nuclear plant po kasi is operated by qualified and certified personnel naxapproved by WANO at NEC...most of them are american and European personnel...so they need to trained filipinos operator during the rehabilitation up to fueling strart up..afterv2 to 3yrs under the aupervision KNHP..Korea Nuclear HYDRO POWER...WANO  AUSTRIA head office ang authorized na mag assigned ng personnel during the ewhabilitation in order to meet all safety and contingecy and emergency preparedness during rehabilitation construction...categorized all personnel to thierl lavel of access confidential po ang issue qbout nucleqr energy..isa pqng masasabi ko it is safe and environmentql friendly po ang nuclear eneegy power soon sana masimulan na yan BNPP PH.,To be clarify lang po ibeen in BNPP..barakah nuclear power plant in uae..every nuclear plant po kasi is operated by qualified and certified personnel naxapproved by WANO at NEC...most of them are american and European personnel...so they need to trained filipinos operator during the rehabilitation up to fueling strart up..afterv2 to 3yrs under the aupervision KNHP..Korea Nuclear HYDRO POWER...WANO  AUSTRIA head office ang authorized na mag assigned ng personnel during the ewhabilitation in order to meet all safety and contingecy and emergency preparedness during rehabilitation construction...categorized all personnel to thierl lavel of access confidential po ang issue qbout nucleqr energy..isa pqng masasabi ko it is safe and environmentql friendly po ang nuclear eneegy power soon sana masimulan na yan BNPP PH.,140,LABEL_1,NEUTRAL,infrastructure
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.","Don't dance with the wolves of the west, lest, they'll put a collar again around your neck and hold you submissive to his whims like what happened to zelenski of okring.","Don't dance with the wolves of the west, lest, they'll put a collar again around your neck and hold you submissive to his whims like what happened to zelenski of okring.",36,LABEL_0,NEGATIVE,technological_shortcomings
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.",How about Japan ,How about Japan ,3,LABEL_1,NEUTRAL,not-defined
Nuclear,"The Philippines plans to cooperate with the United States to develop a safe and reliable nuclear energy program, the country’s ambassador to Washington said on Monday as the two allies deepen ties on energy development that could be an alternative to the dirty coal and fossil fuel.",Better if russia ,Better if russia ,3,LABEL_1,NEUTRAL,not-defined
