Post,Comment
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,I say  go for it wel done good for you   now if we could harness  all the  negative  comments may be we wouldn't need any of these idea from solar to wind tidal wave cold fusion we could power the whole world with all of negative  comments on facebook
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Rutherford was the father of fusion.
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Our physics lecturer alerted us to the fusion quest 50 years ago.
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Sounds fantastic
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,I wondered what Harry Potter was up to these days...
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,this is exciting
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Riaan Prinsloo
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Next we will have more EVs.
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,There’s much history of unlimited power supplies. But funnily enough they’re all suppressed.
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,"Excellent, clear, accessible interview with Ratu around one of the most exciting of many physics-based initiatives and industries in New Zealand. It perhaps highlights the breadth of careers available to physics graduates. Not only are the likes of Openstar and Rocketlabs hiring talent, but even bigger, global successes like F&P Health Care are reliant upon physics graduates for their growth. This all at a time when there are dwindling numbers taking up the subject. One time physics leader, Waikato University, which was once home to Dan Walls (after which the Dodd-Walls Centre of Research Excellence I used to lead is named), cut it’s undergraduate physics programme years ago. Massey University, where Sir Paul Callaghan originally worked, closed its BSc programme two years ago. Even Victoria University, where Ratu studied and which hosts the Robinson and MacDiarmid Institutes threatened closure of its School of Chemical and Physical Sciences. As it stands their programme in physics has been radically reduced with a watch on student numbers hanging like the sword of Damocles above the Department which would leave only Auckland, Otago and Canterbury teaching physics whilst our industry cries out for talent and opportunities to transform our economy and the world go begging. "
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Nuclear fusion is not a race!The world has realised that it is no longer an option because it is impossible to dispense dispense the used fuel rods.The Japanese thought they had found the answer by sinking them in deep sea trenches in lead caskets.But guess what ……they are still actively fizzing……..so that is the end of Atomic power stations!
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Here come the gamma rays
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,"Go for it, Greenies won't like it of course. "
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,only been saying this for years
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,He looks like the type to do it.
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Brilliant young man
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Why is it that NZ does not allow nuclear powered ships in to their waters?
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,It will never happen. Some of the physics just can't be done
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,It’s coming
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Well its the only thing that can replace fossil fuels realistically for the time being.......so b4 everyone gets their pro-nouns and student debt in an uproar take a little time to think
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Already been done. All the people who did it were murdered.
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,"Yea and look at where ""experts"" have gotten us. There's a reactor under the wainuiomata hill. Saw it when I was a scaffolder 20 years ago. Very interesting."
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,And how much more is that going to cost
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Jc Hernandez
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Nuclear free…..the idiots excuse to stay primitive
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,"As if the left would ever allow cheap and abundant energy, i.e., enabling people to control their own lives, to happen  "
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Yes!!
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,https://westinghousenuclear.com/energy-systems/ap300-smr
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,The f**k Harry Potter doing with our energy system now mayn' ....1
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,What experts are the self-implanted ones
Many experts believe fusion energy is the future of limitless clean energy - and one Wellington-based team aims to help New Zealand access this.,Ofc but what do you do with the waste?
