Post,Comment
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",We are in for the biggest 'i told you so'! the world has ever seen. Get back in three years snowflakes.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",And can we expect a common sense and logical response from the Federal Government? And the answer to that is NO. Maybe the electorate will change their tune with increasing cost of utility bills and black outs occurring because the grid cannot cope with demand.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Listening to the Greens, Teals...our community is best served & will be globally the most virtuous by 100% importing wind turbines, solar panels, electric vehicles,  de-stocking our farms & reforesting them.  As a trial can ALL Green & Teals seats & it's people go first.  Nice to see how it's done."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Yep.  Watch the energy prices go up now under this government. Renewables are the most expensive form of energy.  Just because it comes from wind and solar doesn’t mean it’s free.  ESpecially When the wind stops and the sun goes  down or it’s cloudy. And It needs  to be stored then supplied. Nuclear will be the best way in the future as the population grows like most countries in the world.  It’s inevitable.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",The small nuclear modular power plants are the future but we will need coal and gas until they are built. Wind and solar have proven themselves expensive and unreliable
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","It’s the only way to save the economy, and keep pace with expanding economies like China and India who are exempt from environmental protocols."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Nooooo. Let’s continue to sell our highest quality coal to China
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Australia has been without strong leadership for many years
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Absolutely. Paying for renewables which will die before they are paid for is economic suicide. But it’s ok, we the consumer has been conned into thinking we are saving the planet and not paying bills. Forget about the initial investment."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",if we are banning the use of gas and coal in Australia then we should ban its export.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Yes, and we must also begin work on nuclear power plants, as part of an energy mix."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Newsflash…2030. The Australian Labor Government has just released its new energy policy. It advises all Australians, if they want to keep warm, to rub two sticks together. This will generate heat in the traditional (and culturally correct) aboriginal way, and hopefully a small flame will be the result of this rigorous activity. However, a press release from the Greens will announce they will oppose this directive, as the use of natural wood and the resulting CO2 emissions directly contradicts its environmental policies. Sky News has replied with Andrew Bolt claiming the removal of every tree in Australia several years ago to build billions of hectares of solar panels means no one has two sticks to rub together. This highlights, Bolt stated, the ineffectiveness of the Labor Government, while the opposition suggests we start importing sticks from China to help the growing number of ‘silent Australians’ warm themselves over the coming winter."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Completely agree 100% and this is going to be the downfall of the labour government with these green net zero policies that will cripple this country and then they will soon realise what they've done was wrong and the people will soon realise how stupid they have been to vote for this government
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Yet, we are sitting on one of the worlds largest uranium deposits & could easily be experiencing some of the most reliable, clean, cheap, power for ALL our needs!!!DUHHH!!! Why???"
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Oh dear. They really have it bad.  Too bad that the majority of Australians are moving on.  At this rate sky news will become irrelevant before fossil fuels become redundant. Wont be too much longer now.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Gideon, blind Freddy could could see this too. Seemingly none of the intelligent elite gave consideration to a sensible transition phase(s), so star struck are they by renewables and target dates they forgot the rest. Bowen will handle his current portfolio in the same manner he handled the migration portfolio - both will be a disaster."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Agree with the author. We also have to start with building Nuclear  Power stations NOW . Use what we need sell the excess coal and gas
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Governments do NOT understand the meaning of COMMON SENCE along with so many in the world today
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",The goal is to crash economies using green energy as an excuse.   To many fell for it.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Anyone that voted for independents don't complain you have got what you asked for.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",yep instead of sending it all to China
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",The first priority should have been energy security but apparently we don’t have a problem with that according to Albo and Bowen.  Why else would have they put renewables as the priority;  doesn’t seem to matter that other parts of the world are having energy security problems (some not caused by renewables).  Affordability of energy would be next;  Albo you’ve said you want thing built here.  Ain’t going to happen whilst we have availability of energy and price becoming big issues.  Thick as ten brick.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",We are being fed misinformation.  Coal is a resource we need at present because our energy system is in chaos.  While there are Wars and potential political conflicts we need to increase our energy output so as manufacturing can produce what we used to import.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Green lunatics will bankrupt the country.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",We wouldn't have a crisis if it wasn't for the renewable mania!
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","The article is largely correct, but omits the very important nuclear energy option."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","I am waiting for the whole green renewable idea to crash and burn.They may all wake up to the lies,  the green have been feeding us to line their own pockets We are now at a point that the only thing that will wake people up is power outages,  food shortages,  and mortgages that are out of control."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","This is the way to go . People need to live and it is about "" balance"". This carbon emmissions has become a joke for countries that need to basically live & survive!.                   This is cutting off their nose to spite their face!"". Mean while  the major countries that are the biggest polluters  carry  on living their way of life , with barely a change of their lifestyle?. These countries  should be doing more of their share  for "" Mother earth"".  Do we see them cutting  back ?."" NO "" . Countries governments  that are pushing this agenda are "" ideoligists and theorists"", they are "" virtual signaling"" & do not live in the real world. They live in their rich bubble , they look after themselves because they can afford it. Realistically , the average lowly subjects will  struggle continuously all their lives unless there  is a ""balance "" across the board , the world. Countries need to take care of their ""OWN "". UN needs to  stop dictating directions &  distributing the problems throughout the world especially after this widely spread "" Pandemic environment""  .   This , all in the name of 'climate change""?. There needs  to be a better way for humans to live."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Build new coal fired power stations.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Governments around the world have thrown money at this for decades pointlessly. You don’t have to be terribly smart to be a Polly.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Use our resources stop the globalist adgendas build modular nuclear power plants make Australia great again
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",So right Gideon  but unfortunately we are going down the unstable wind and solar path
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Our coal fleet is aging, built in the 70's and the 80's, we need to build HELE plants, more efficient and less emissions than older design plants, wind and solar are intermittent power generation."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",And get started on nuclear power.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","A commitment by government should always be supporting whatever is plentiful in resources and or has continuous abilty to generate base load power for the nation, now and into the future. And that is having multiple forms of energy generation from coal, gas, waste to energy, tidal, hydropower and localised power generation with wind and solar as the last two cannot generate base load power for this nation."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","When you have our politicians with their scare mongers flat out day in day out preaching. Saying that if we don’t change to renewables x amount of people will die from heat stress illnesses. Yes they will if they can’t or too scared to turn on their air conditioners. We need to wake up and yes look into advanced technology into coal power station’s. Its like our flooding nothing gets done, trust me renewables are not going to stop the flooding. New technology in getting rid of flood water will, but no our politicians have money invested in renewables."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",One country had woke up now let’s get the rest on board Because climate change is a load of BS and John Kerry and al gore are at the helm filling their pockets
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",The only way 100% just wish our Govt would get behind it. No reason why Australia should have cheap power with our huge resources coal and gas. We have been sold out.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Another one of Rupert's hand picked Mouthpieces Slobbering the Fossil fuel Mantra.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Too sensible Gideon! It’s based on truth rather than the “climate change hoax” pushed by the ignorant ideologists…
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Here in WA, they are building a huge battery that will take excess solar power from house solar panels, and it will only power 160,000 homes for 2 hours!!! Methinks they are going to need acres of batteries!!"
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Virtue signaling will not keep the lights on , stop floods, drought or bush fires."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",When you only get 32% of the vote then they have to bow down to these climate zealots to survive and get stupid bills through While most Australians agree with renewables as a power source just not at the cost of higher bills and less reliability We need back up power to keep this country viable and coal powered and gas  powered resources are needed
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Clearly The opinion of Gideon Rozner would know way more about energy sources and power supply than these “so called” experts with decades of education and training in that field.(People actually believe this rubbish?)
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Can all the greens go live off the land out bush somewhere while the rest of the nation fixes the energy problems
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","If the coal power stations were rebuilt with today's technology,  they are more efficient and have much less emissions. There needs to be a sensible balance between coal, gas, renewable and Hopefully one day nuclear"
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Anyone with half a brain would know this ..which leaves the current ALP Socialist Goverment out completely..not a brain between them all ..only thing is everyone else will suffer the consequences from their Unsustainable Renewable’s push ….
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Instead of inventing new uses for electricity we need to invent effective, environmentally friendly storage for produced electricity .  This should have been a priority since it's discovery.The continuing issue is that electricity needs to be produced as the demand requires."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Given that multiple CO2 sensing satellite systems strongly suggest that the Australian continent is already net zero, we might as well extend the life of coal fired power stations, although what Australia really needs is to go nuclear."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",We have to obey the inner city wealthy
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Well that's probably commonsense to some degree, which is why we are going in the opposite direction, ask Bowen "
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Of course we should be maintaining our coal power stations, and producing more gas for our domestic use while investigating nuclear power, it just makes sense, but then the current Labor, Greens and much of the LNP are lacking in this area, still, the penny will soon drop as it has in Europe, hopefully it wont be too late."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Would love that twit Bandt to explain how all the thousands of batteries, massive fans and panels will be made without using all the materials, minerals, resources and traditional power he hates so much. To all that voted for the greens and Teals, thx fa nothing except more debt and hardship."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",get rid of the wind turbine eyesores and solar panels. They are far from green energy. Nothing but a big fat con by the Globalists !!
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Gideon is showing very good un-common sense.  Shame our politicians aren’t.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",I know let’s ignore completely the acidification of our oceans the gigatonnes of carbon pumping into our biosphere each year because it’s cheaper the old way
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",See the example in South Australia under the Weatheril Labor regimes. Highest power prices on the planet.  That's  Albonochio  has in store for the rest of us unfer federal Labor
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","That definitely makes good sense but worst luck we have politicians with no sense they like to blow up old coal fired power stations once they are retired. These actions leave us in a position of electricity starvation where we all need power but their won’t be enough to go around, time to invest in a portable generator because you are going to need it to keep your refrigerator and freezer working. Our kids will have to learn that without electricity their laptops, phones and wifi don’t work."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",we as Australians can see the only way to go is this ut the government is still dead set on leading us down the garden path to ruination of our country
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Yes that is true , but we need to go nuclear to sustain our need for future energy demands "
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","For the moment while we set up for nuclear power! It has to be part of the plan. Forget about what Air us Albo says. He’s just following plans of the NWO, WEF Great Reset"
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Absolutely correct We are far from being renewable reliance..
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Why do these clowns oppose cheap power?  Just because it doesn’t serve the foreign owned mining companies?
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","That will never happen, as Albo, Bonehead and Bandit are pushing the 43% emissions target to be achieved in 8 years, once that is passed it then only be sun and wind. The way this bill is being fast tracked that will stop any other sensible ideas being mentioned."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Gideone a blind man can see this, why not Labour."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",You need to keep the coal plants until the renewable options can 100% keep our supplies flowing and people don't have to go cold or hot. Too the people who are dead against coal power stations would you want your families to die from not having power to keep them alive or safe?????????
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Can anyone explain to me how it's okay for our governments to make so much money from coal exports thus enabling other countries to use coal and yet with all the very talented clever Australians we can't build coal energy facilities that are as clean as possible and would give us the answer to our energy prices and also solve our present shortage. Where has common sense gone?
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","A challenge to the Renewable Politians: open your homes to us and let's see - how much ""dirty"" energy you are currently using."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",New coal power stations with air filters are approx 99 % emission free and very efficient.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","And longer term, a serious push towards nuclear….we’re one of the worlds largest producers of uranium and like everything else good that we produce, it’s all exported to serve foreign countries instead of our own"
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","The place has gone insane.  Could we please have a Summit on Climate Change where everyone can have their say. We keep getting told about ""The Science"" and gloom and doom by 2030. No one has every explained this ""Science"" to the vast majority of Australians. This is the same ""Science"" that has been telling us for decades about the destruction of the Great Barrier Reef. Yesterday we found out just what a lie that was.  The Reef is in very good health. The Greens, Labor, Teal Independents, Independent Liberals and Littleproud and his Nationalised Greens, overwhelmingly run the show. What hope does Peter Dutton have.  We are doomed."
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Germany has a power crisis so have fired up the coal power plants. We’re so smart in Australia we blew ours to pieces.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",Problem is with more gas exploration…. Usually it won’t be allocated to domestic use… it just gets exported because it can be sold at three times the price
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",As long as the coal and gas companies pay for the upgrades
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",A lot of the old power plants are Toshiba and they’ve stop making them including parts but go on tell us how to refurbish them
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",12 wind turbines built in Hughenden Qld still not turning. 5-6 years later. Makes no sense
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.",We all know the cure for energy crisis but Albo hasnt a clue and dosent want to know his eyes are fixed on being the mesiah but he is the false one.
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Now so many people are waking  up reading books & listing to what other people have to say So many people , using their common sense about all this Climate Change talk. Our eyes are wide open. We are educated enough to know in reality it is all rubbish & so much of our money is being spent on this fantasy!"
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","We all know this but our useless politicians, and what are they going to do when we start having black outs. I know it's the war in Ukraine that will be the reason!! Most other countries are dropping this stupid idea but Australia is full steam ahead. ￼"
"Refurbishing our coal plants to extend their working life, scrapping the renewable energy target and ramping up gas exploration is the simplest solution to Australia's power demands in the immediate years to come, writes SkyNews.com.au contributor Gideon Rozner.","Absolutely, but not with this Labor Government, and who will pay… every Australian will!"
