Post,Comment
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","arrrre, पहले green प्लांट्स के pattay, इस सोलर energy use कर के, oxygen detay थे, ab iss solar panel से oxygen plant chalega....oxygen plant replaces green plant...human wisdom!!"
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Is it true.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",The power of india
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Great imitative for providing  lighting through solar electricity  to   ancient hindus temples. Our hindu civilization is oldest and temple are haritage  not only for hindus but also for the whole world . This temple was attacked by muslim invadered and destroyed some parts .
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Jai bhole baba
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",How many acres?
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","For someone who's cool, the sun shines 24 hours a day!"
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Waste of perfectly good land suited for agricultural purposes.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Kit Evens
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Michael Schmidt
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Maneesh Ahooja
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Any real industry in this town.  OOPS - not enough power.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Amazing - the sun shines 24 hours a day in Gujarat!
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Future landfill pollution!
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",One word: Volcano . . .
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",That’s 1.5 hectares of solar panels per household. 
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","Roofs ok, panels on land disgusting"
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Awesome
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",They should invest more into nuclear power.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Nice to see some natural growth between the toxicology.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",What a waste of land
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Worst use of land possible...
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Albert Alvarez Servan 
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",24 hours per day?
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",10 years behind us
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Solar panels take way to much land up . I'd  rather see herds of cattle or crops to feed people.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",This is only part of the story
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",I would rather see corn and bean fields in my state than solar panels
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",The Solar Panels cover over 29 Acres of land.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",NOT GOOD for the Planet ... IDIOTS ...!
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",So! Hope there ready when needed to replace old ones so selfish for poor people there
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","How much Precious Land did those  Idiotic Solar panels take up ,You could have put 10 Coal fired power Stations there "
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","Around the clock?Space taken from arable land?Manufacture, installation,  maintenance?Mining for raw materials?Recycling?"
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",one hail strom & your screwd
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","This is indeed the new religion. The pope and other 'worldreligions'  cal out the 10 climate-comandments!!!! Look out, Jesus is coming soon."
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Not economic
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Wankers
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","good for them, saves them money and that is the only reason for doing so. wonder how long it will take or get back the 9.7 million investment."
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",and still riding elephants
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",And where are they growing their food ?
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","The reflected heat from these is part of the ""so called"" global warming."
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Where are the farms?
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Wow very intelligent engineers
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",What a waste of valuable land for farming.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Are we still sending money over to India from the UK?
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Beautiful.  Absolutely beautiful.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",The solar panels are still a pollutants after their expiry
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","you've jsut proven solar is not a solution, 12ha solar + houseroofs for 7000 people, that means for the 70 million brits it would mean 900000 ha solar or 9000km2 solar that would cost 100billion even with indian prices, and this if we would have sun like india has, but we have only 1/4 the sunshine here so it would be 36000km2 and 400billion or more. we would literally have to cover 1/6 of the uk in solar panels, and we dont have electric cars yet... it would push it to cover 1/4 of the uk in solar panels     way to go"
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",All free
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Martin Jendrischik
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Ulrike Schwarz
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Fantastic achievement.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",You know you can keep burning coal and natural gas it’s way cheaper and more affordable ￼￼￼￼and way cleaner in the end
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","All that land  used just to serve 7,000 people what a waste. We are going to have to paint the world black to power it."
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","Congratulations  to All start ups..Govt of India n Local State Govt as well..!! I was reading somewhere tht..why India can't make Airplanes ..Jets..!! The Ans is Big Investments n Know how ..bt those days gone..now it's New India..Progressive India..future is bright..only we hv to support our Industry leaders..Tata..RIL..i red in USA 57%  public are Invest in their industry leaders...corporations etc...etc..bt In India only 7% invested in stocks mkt...all due to Fear..n blamed the stock mkt Satta Bazzar...i mean if U want to see india among da 2nd- 3rd Economy in da World..we must hv v v high target..at least 1 person from every 10 must open Damat act n get invested in our Make India start ups..our Industries..Dnt trade only invest..minm amt..after 10 yrs as those co grows thrw ur money invested in them..u will get..20..50..100 times more money get  return back...( Defense Sector, Fmcg Sec..Retail sec..Green Energy sec..Medical n Insurance sec..IT n Electronic sec..etc etc..n obviously in new Start ups..we can make it in a while..let's spread positivity..be cheerful n Salute to our growing mother India.."
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Such a shame to cover the good earth with this. Power can be got in other ways.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",In a few years their will be asking us for money to feed them because they have no food because they covered the farmland with solar panels great Idea
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",A Brilliant idea!
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Seems good work 
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Thats a lot of wasted land
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",IN LATÍN AMÉRICA THE BEST COUNTRY FOR TO LIVE AND TO VISIT ITS URUGUAY FOR HIS GEOGRAPHY HISTORY AIR WEATHER TIME NATURE SECURITY PEOPLE FOODS SPORTS CULTURES AND BEACHES.... MONTEVIDEO AND PUNTA DEL ESTE ARE THE PLACES MOST FAMOUS ABOUT URUGUAY..... THESE WEB SITES ARE FANTASTICS FOR TO SEE :   www.viajeauruguay.com www.turismo.gub.uy
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Solar panel made in China lol.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",All I see is the humongous area that is covered with those panels. In many areas in India people starve and they use the land for those panels. SMH
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","Hmmm, I wonder what used to live on the land now covered with panels? And what happens when the cells run out of electrons to transfer?"
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Who paid for it?
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",theft
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",And they now are eating Ucraine weat that didn't come...
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",So nothong on how the energy gets stored or about the cost/kwh in the video. You must think we are all idiots.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Moon wobble causes floods & drought. Sun activity / evolution is the cause of climate change.HUMANS CAN NOT STOP IT.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","Solar panels raise the earths temperature.Yes, solar panels are hot to the touch. Generally speaking, solar panels are 36 degrees Fahrenheit warmer than the ambient external air temperature. When solar panels get hot, the operating cell temperature is what increases and reduces the ability for panels to generate electricity."
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",And we send them aid ?   Why ?
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","The toxic chemicals in solar panels include cadmium telluride, copper indium selenide, cadmium gallium (di)selenide, copper indium gallium (di)selenide, hexafluoroethane, lead, and polyvinyl fluoride. Additionally, silicon tetrachloride, a byproduct of producing crystalline silicon, is highly toxic."
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","Did I miss somethin""?? $9.7MIL for 7000 people is $1385/person....The gov't paying for it doesn't make it free."
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",I presume that those people did not need any food from that land now covered by solar panels.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Great  nice  next generation
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Could power that with 5acres with nuclear and grow a lot more food!
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Nobody trusts you!
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Looks like to me in a lot of countries this is done where they have no natural oil or gas of their own................
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations","Anyone with common sense sees the fallacy of solar power for 24-hour per day use.  Wind power is likewise subject to so many variables that it is totally useless except to charge batteries for backup power.  The government forces local utilities to buy ""excess electricity"" from solar panels to make the panels more affordable, but that drives up the price of electricity because the solar power is generated during the lowest power window.  We need natural gas generators for the time being, and build nuclear generators for the future. That won't happen as long as the president is suffering from dementia!"
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",And no trees. No oxygen.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Can solar panels get recycled or do they go into a land fill after use?
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",And exactly HOW do the solar panels provide electricity at night?? Some might think this is a LIE.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",They now have electricity 24/7 and breathing problems.  Deforestation of acres and acres of trees will have regrettable consequences.
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",Yusuf Joe Allie imagine wat cyril couldve done with the 500 billion
"1,000 years ago, worshippers built a Sun Temple in Modhera. Today, the sun provides all its energy  Learn how other countries can accelerate their solar energy transitions: http://ow.ly/pqGq50LmS4RUnited Nations",we have to many gopers for anything good to happen
